temperatura,umidade,pressao,vento,chuva,nivel_agua,gases,luminosidade,evento
37.06,37.69,1029.87,24.54,234.38,2.56,1498.48,54073.24,enchente
-9.28,31.43,1019.83,17.39,259.37,3.93,1928.83,41775.69,enchente
18.76,40.14,1004.07,11.02,211.1,2.45,1659.39,52224.15,enchente
23.03,83.64,981.16,4.18,144.12,2.42,1895.81,56259.43,enchente
30.42,50.31,973.2,6.36,109.55,4.8,1839.68,13081.6,enchente
10.32,82.65,1007.64,14.57,153.43,3.22,1978.77,27150.3,enchente
40.84,15.1,959.28,7.55,273.97,2.69,400.42,23866.56,enchente
22.59,19.09,1037.03,24.61,290.19,3.98,1098.51,28384.11,enchente
39.18,95.53,1008.77,24.81,124.17,2.33,378.3,67672.28,enchente
29.47,28.48,1029.25,0.65,149.5,3.24,1968.44,24266.98,enchente
6.19,61.61,991.22,8.44,114.56,4.64,1132.48,20596.2,enchente
39.99,72.0,973.58,5.37,200.09,3.54,1855.42,10958.95,enchente
25.12,33.77,958.23,9.27,269.39,4.65,1771.13,83853.74,enchente
3.73,75.8,1006.39,2.87,225.73,2.2,571.48,26687.42,enchente
-6.18,30.53,1020.34,23.18,240.34,3.28,442.72,98283.21,enchente
34.12,85.93,955.69,21.67,128.86,3.87,1380.11,59137.49,enchente
25.42,10.79,1000.68,21.29,153.14,3.61,1318.1,80637.19,enchente
1.44,74.25,989.22,18.13,159.18,2.4,744.87,58470.85,enchente
19.27,33.26,1026.55,10.36,160.15,2.34,1770.47,25778.8,enchente
36.93,40.67,972.7,20.67,203.95,2.06,1916.09,62572.41,enchente
-9.66,61.16,1040.53,9.39,189.34,2.43,1962.33,40051.2,enchente
4.31,54.66,974.05,5.37,191.72,4.13,1556.04,1616.6,enchente
19.8,46.41,998.07,21.95,267.28,4.93,1124.8,26538.08,enchente
40.67,42.54,973.66,0.63,261.27,2.06,1427.38,15479.11,enchente
21.24,83.53,1022.32,22.39,134.97,2.09,1250.16,69185.52,enchente
7.21,93.5,985.42,19.4,233.01,2.79,1409.7,68878.9,enchente
6.28,14.42,1014.85,17.09,184.58,4.25,825.18,54867.0,enchente
-6.22,86.1,961.82,2.46,134.21,2.83,902.82,71929.11,enchente
40.01,34.84,991.97,16.23,190.96,4.42,564.66,45137.0,enchente
22.55,62.99,976.0,19.81,244.15,4.56,1641.18,5238.13,enchente
5.78,97.79,1007.45,24.62,243.04,2.27,1352.65,97417.91,enchente
17.66,90.8,1030.57,5.95,152.88,4.77,1058.86,5252.03,enchente
-9.57,88.31,975.47,9.0,169.53,3.82,1833.72,71456.67,enchente
6.64,87.66,1014.04,9.62,254.72,3.06,537.08,24460.6,enchente
12.82,29.24,1044.92,2.54,216.61,2.45,760.91,7723.48,enchente
41.47,59.33,1036.13,24.63,157.17,3.88,961.4,61047.84,enchente
40.28,50.99,984.93,14.5,270.76,4.18,817.96,43611.3,enchente
22.12,11.83,956.58,8.86,182.17,4.8,407.59,73154.94,enchente
22.19,16.19,979.93,19.33,167.08,4.57,1390.17,15269.39,enchente
7.39,92.94,995.01,0.24,122.67,3.87,933.8,31924.83,enchente
-5.96,39.86,978.76,17.61,117.48,3.05,1808.03,59634.08,enchente
-8.15,44.87,1026.47,6.08,73.14,0.78,1895.68,63796.79,normal
3.69,16.92,989.31,15.72,245.22,0.76,1415.06,791.95,normal
11.84,19.35,1048.72,9.08,102.16,2.87,1494.99,54019.19,enchente
5.94,84.24,979.59,2.9,104.11,1.69,489.88,1879.41,normal
31.5,19.5,978.96,6.75,180.02,2.74,1857.13,87126.29,enchente
10.67,95.7,988.44,0.38,79.7,4.33,1622.87,44974.01,normal
24.55,61.25,978.47,22.0,129.77,2.58,1663.16,58009.08,enchente
2.1,38.21,989.88,24.59,197.89,4.04,1968.92,29783.02,enchente
-9.72,48.98,975.07,23.39,142.24,3.18,826.36,37711.77,enchente
-9.82,79.35,988.8,16.64,55.09,1.38,508.89,79483.19,normal
9.56,47.77,978.79,18.66,176.8,2.51,590.64,81664.88,enchente
2.45,50.16,1022.73,11.03,225.6,2.93,1215.58,77669.02,enchente
35.07,66.33,998.99,2.43,247.08,3.57,1138.67,52214.0,enchente
25.62,43.84,953.82,12.3,227.12,1.2,1687.1,83372.15,tempestade
16.18,79.95,997.52,8.9,282.48,4.46,1158.25,44051.25,enchente
-7.1,72.37,1032.38,0.98,200.08,4.13,315.33,5658.65,enchente
4.21,51.56,1004.0,18.26,197.14,1.83,1894.79,28569.58,normal
-7.08,34.44,950.54,16.09,244.07,2.96,1166.21,78291.96,enchente
-5.98,28.18,1007.64,11.56,56.74,0.2,1036.05,23105.4,normal
7.46,40.68,1044.38,16.3,35.11,0.82,473.61,95616.82,normal
9.06,11.14,988.41,14.31,250.75,1.48,838.83,54573.3,normal
-6.25,31.85,990.34,4.18,142.66,2.9,1368.38,55502.58,enchente
-1.09,98.51,955.45,3.7,74.72,2.65,1635.72,1585.82,normal
-2.37,73.39,1034.55,1.99,124.66,4.26,441.05,9896.84,enchente
0.98,97.16,993.3,6.2,101.13,2.45,1176.47,63657.86,enchente
36.25,39.66,1044.09,11.91,257.75,0.1,1021.54,32037.34,normal
11.86,22.9,955.56,13.32,288.21,3.99,1030.35,31223.2,enchente
14.22,41.21,1020.9,1.05,78.34,3.19,1816.26,31676.25,normal
7.11,72.95,959.3,15.18,25.94,4.49,630.67,31193.75,tempestade
9.93,52.69,981.37,6.16,181.01,4.41,1629.9,71748.99,enchente
34.9,25.34,1004.94,4.12,256.31,3.16,1958.5,3409.16,enchente
33.06,73.17,1042.86,1.92,168.47,4.05,660.62,92280.78,enchente
29.48,96.82,1046.27,22.96,111.55,0.81,582.66,81221.39,normal
0.71,12.46,951.25,13.08,108.69,4.57,1809.04,34152.38,enchente
-4.57,18.43,976.71,18.12,145.41,3.67,1860.09,61638.19,enchente
42.32,58.06,967.74,21.93,232.97,3.27,1225.25,90790.99,enchente
7.56,93.37,972.84,11.68,1.65,0.99,333.33,22976.57,tempestade
43.78,15.66,979.83,15.15,103.71,3.55,499.18,27580.36,enchente
-8.92,44.65,1023.0,3.93,237.17,3.47,1844.96,6343.73,enchente
28.22,57.52,955.33,24.86,18.16,1.03,988.25,23429.02,tempestade
-9.35,44.62,981.58,5.46,232.56,4.65,451.67,92886.88,enchente
34.46,65.39,987.19,10.91,160.2,1.86,723.17,30626.94,normal
25.66,47.59,1048.54,17.6,200.9,1.77,791.18,42041.72,normal
3.05,27.81,983.64,9.62,85.43,4.2,635.37,32076.15,normal
21.96,25.46,1007.97,17.65,63.33,2.4,1565.99,89087.1,normal
7.63,56.08,1030.07,4.29,279.67,1.12,474.85,56329.95,normal
6.62,56.93,1002.76,13.62,275.26,1.91,753.95,2104.41,normal
17.15,15.57,1023.16,6.59,37.9,3.56,1992.73,3864.45,normal
-3.44,64.29,1041.86,13.05,49.27,1.59,1079.26,5023.27,normal
-6.39,97.28,958.16,6.79,70.72,4.13,1286.68,24936.9,normal
-4.91,55.9,1022.55,3.09,237.22,1.24,1205.01,78814.83,normal
-8.79,50.48,1042.61,20.83,160.4,1.29,1260.29,44385.2,normal
-3.18,51.7,985.86,21.81,92.62,3.14,1785.36,65594.45,normal
22.1,73.89,1020.85,8.4,95.27,2.23,1863.26,11963.25,normal
25.65,18.92,983.77,16.02,266.44,1.98,644.1,50636.06,normal
31.12,83.51,1020.43,13.4,19.04,3.8,1682.17,34669.98,normal
20.69,92.76,973.66,1.61,5.16,2.09,985.66,34514.92,normal
32.38,12.3,1011.23,19.17,124.46,0.93,557.25,29002.66,normal
23.22,32.13,1046.16,22.06,42.91,4.84,1980.78,66849.87,normal
31.91,38.58,1001.84,5.21,49.38,1.53,1347.51,40121.73,normal
6.85,88.11,983.25,1.78,56.65,2.7,1842.07,16402.62,normal
5.95,70.82,954.46,2.87,51.45,2.09,1796.57,32642.72,normal
27.48,50.42,1035.51,16.53,38.31,2.17,1323.59,32889.66,normal
10.81,49.65,1029.54,20.97,212.88,1.83,354.81,83028.15,normal
22.28,43.88,1031.42,6.32,86.26,4.16,1438.6,20752.28,normal
7.77,84.79,1007.07,14.3,38.1,0.05,1884.08,88363.25,normal
5.18,46.23,1049.13,18.25,69.07,2.24,458.27,99293.32,normal
11.12,70.74,1034.83,24.19,207.53,1.22,922.85,50866.85,normal
-0.7,50.01,1013.08,4.5,125.3,1.96,1416.21,45763.37,normal
-4.28,74.92,990.89,4.83,80.12,2.31,600.9,38250.45,normal
28.26,27.7,1009.2,14.6,51.02,3.29,487.18,3935.5,normal
25.13,73.22,1011.49,18.29,8.24,2.81,1532.37,95445.31,normal
15.97,32.53,1039.92,8.63,133.45,1.55,533.93,8620.51,normal
-6.79,89.94,1017.27,24.21,191.12,0.89,930.11,46722.17,normal
-2.54,97.52,1024.29,22.43,28.25,3.73,745.71,75646.35,normal
30.62,88.66,980.57,7.39,141.03,0.04,1311.44,21751.26,normal
1.49,36.77,1015.28,16.97,78.84,0.48,1425.0,85225.65,normal
34.45,80.32,1030.92,0.54,198.43,1.26,881.74,67437.2,normal
9.37,58.89,1023.84,20.3,206.47,1.52,784.26,73630.41,normal
16.82,39.3,1003.06,1.88,54.74,0.27,1291.68,54522.3,normal
-2.44,13.03,1047.62,4.42,234.55,1.02,1859.61,31133.26,normal
6.68,67.42,1026.43,2.75,83.88,0.5,451.29,61920.49,normal
11.91,50.09,1047.68,16.04,1.1,1.45,866.91,86865.17,normal
21.69,19.75,1004.85,18.43,99.72,2.49,982.3,42609.12,normal
36.32,71.15,980.15,11.91,25.39,1.26,1069.79,658.33,normal
29.99,57.43,999.74,17.49,31.14,4.14,662.19,46082.55,normal
14.35,15.47,1024.29,4.9,251.0,1.35,1390.18,53511.63,normal
2.07,78.39,965.34,8.57,225.79,1.98,392.0,31257.82,normal
25.23,46.46,1027.53,9.48,291.24,1.23,1404.66,89207.22,normal
10.24,21.37,1038.3,24.31,260.29,0.24,918.82,3137.16,normal
6.75,15.57,1043.05,16.95,203.38,0.55,419.72,6165.37,normal
8.66,33.83,986.99,23.81,76.94,4.87,1827.64,7371.43,normal
-1.02,92.72,1035.24,10.69,235.34,1.13,805.45,79278.15,normal
29.25,56.48,1019.92,0.42,282.8,0.53,1506.03,74037.48,normal
-6.98,49.48,986.14,16.75,94.26,3.18,1608.04,82900.68,normal
-4.9,17.5,1045.18,5.39,78.3,1.91,533.04,92620.84,normal
4.02,93.09,961.28,4.29,57.76,3.95,1929.14,29974.02,normal
16.01,78.26,982.33,10.84,69.15,0.09,954.2,58192.52,normal
36.36,58.36,994.12,2.96,89.27,4.25,1064.86,92237.89,normal
26.57,90.77,1045.85,6.05,47.3,3.98,1436.56,32188.73,normal
4.94,96.52,962.68,8.25,114.78,1.33,942.87,5161.78,normal
18.42,37.23,959.44,5.42,31.42,3.63,364.52,37162.36,normal
32.9,18.46,1047.48,3.18,30.69,2.9,1834.01,62159.92,normal
8.22,10.27,1046.75,3.66,180.27,0.49,687.1,63367.43,normal
26.65,62.09,1004.6,9.71,250.06,1.03,1093.14,57212.73,normal
22.26,59.65,983.89,12.66,51.06,0.87,1459.44,10152.28,normal
28.35,92.8,1025.53,23.56,26.39,1.17,1516.75,172.9,normal
9.14,26.55,981.29,17.53,30.39,0.87,1473.46,78248.21,normal
21.55,97.85,1001.6,8.24,240.67,1.61,1126.42,11486.4,normal
5.71,24.04,998.98,10.2,12.72,0.51,1252.76,86968.04,normal
16.82,68.38,1001.75,18.16,224.71,0.14,648.62,23418.73,normal
-1.41,29.42,1026.21,10.45,165.75,0.9,956.62,51788.65,normal
33.28,75.52,987.32,7.46,24.45,0.62,443.9,28444.92,normal
5.69,22.3,1002.82,10.11,272.84,0.14,1694.17,29163.09,normal
5.7,87.37,1017.94,17.07,88.2,2.34,361.23,72312.86,normal
0.32,80.69,1010.06,14.87,70.92,0.19,1818.26,11439.09,normal
36.48,38.51,1013.58,7.31,135.08,0.2,1407.87,52429.86,normal
24.65,29.09,1049.29,14.17,112.81,1.74,336.87,49450.35,normal
4.72,53.86,1030.15,19.8,91.21,4.88,1190.0,96584.24,normal
30.05,43.48,994.04,24.56,43.61,2.49,1852.77,59489.26,normal
0.03,35.48,1026.9,6.29,120.2,0.84,1820.73,69600.13,normal
1.32,86.88,953.13,5.58,67.38,0.16,904.06,37190.31,normal
23.21,54.0,1000.64,21.16,47.64,1.7,907.32,46567.05,normal
33.7,42.54,1013.0,15.84,38.96,2.69,1459.42,3327.54,normal
24.66,68.66,1017.95,2.53,36.43,3.17,1248.72,43737.78,normal
-9.28,91.87,1020.4,16.23,79.45,2.01,1788.66,22663.61,normal
16.45,95.48,982.73,13.66,55.68,2.09,489.64,44387.74,normal
8.41,15.19,1019.6,12.06,60.17,3.85,1396.57,2259.0,normal
-3.21,73.69,1032.14,17.54,1.57,1.48,1746.41,96929.42,normal
-7.83,22.25,990.75,13.54,83.2,1.92,1804.47,18187.13,normal
17.49,81.15,957.78,2.57,33.97,0.75,1476.45,5280.3,normal
33.84,70.71,1038.49,4.61,33.43,3.83,956.65,96857.83,normal
26.86,35.57,1009.52,22.81,27.0,1.86,1706.58,59931.86,normal
-2.16,77.52,1013.73,4.2,32.87,4.99,1441.95,44954.74,normal
36.94,28.94,996.89,9.4,54.33,0.2,1309.7,13260.27,normal
26.91,80.16,1019.23,6.67,276.32,1.1,1946.38,59018.58,normal
3.49,17.06,1032.8,16.11,87.64,3.66,1665.33,48320.93,normal
2.53,50.4,965.14,5.69,291.92,0.88,1674.03,81891.76,normal
31.95,87.75,988.61,24.43,40.32,3.03,970.82,5430.81,normal
-8.01,26.81,986.51,18.24,66.4,1.99,472.41,92086.92,normal
4.79,88.69,1032.81,16.95,244.81,0.44,1274.63,97227.53,normal
3.12,37.39,983.16,22.65,10.08,4.31,1481.61,68049.6,normal
29.68,37.55,981.34,4.8,4.4,4.52,523.43,75879.25,normal
-6.91,60.46,987.2,1.56,39.08,3.22,729.32,53845.27,normal
17.79,55.64,985.48,3.92,186.78,1.9,1975.53,38178.35,normal
26.35,79.15,1018.72,23.96,10.05,1.23,1456.16,44378.38,normal
7.75,71.65,966.27,3.12,33.17,2.64,1976.81,92884.77,normal
-5.26,75.02,1037.78,6.67,98.07,1.95,1467.28,58883.22,normal
26.14,71.88,1016.8,2.98,80.39,4.43,1865.3,10120.54,normal
12.64,55.88,1041.27,0.21,122.62,0.79,952.95,5037.82,normal
6.74,81.7,987.38,3.46,284.46,0.75,608.57,32512.8,normal
-7.25,38.22,999.77,20.59,104.41,0.6,526.35,62839.74,normal
-4.09,18.4,1047.52,22.11,70.88,1.59,1456.2,84191.45,normal
23.43,79.63,1030.18,17.16,71.0,1.77,945.81,25660.8,normal
29.94,39.23,1028.42,7.65,238.12,0.33,1758.89,21821.43,normal
-2.35,96.61,1031.2,0.37,196.91,1.57,1778.02,38389.01,normal
23.3,75.54,1048.92,7.09,97.17,4.53,588.96,63563.54,normal
4.51,54.38,1047.4,0.86,201.5,1.6,360.56,36664.19,normal
23.75,13.31,1041.5,7.88,272.09,1.66,495.17,24944.37,normal
24.62,81.99,1009.66,4.62,77.16,1.63,579.73,8654.96,normal
23.59,67.71,1039.63,12.55,221.88,1.87,1486.45,93786.14,normal
36.63,48.24,1022.88,13.37,233.77,0.22,1653.94,78994.37,normal
23.04,46.59,1011.77,7.98,32.96,3.51,1591.08,23246.44,normal
16.89,12.01,1038.05,17.08,272.13,0.83,1360.7,1578.98,normal
7.1,25.53,1009.14,13.87,91.81,3.27,1057.82,75605.46,normal
-7.43,78.05,1020.26,9.95,24.52,2.03,1551.81,49982.81,normal
-2.02,95.97,1035.3,14.97,75.81,1.91,1040.91,82756.67,normal
17.35,14.22,1007.51,6.68,236.62,0.09,1994.26,88847.85,normal
21.97,17.5,984.03,21.09,17.22,0.85,1517.8,99885.31,normal
6.48,81.08,1009.06,14.87,48.45,3.35,917.08,52684.16,normal
13.09,40.86,1001.81,13.27,188.35,1.02,657.76,71922.26,normal
-5.08,97.32,996.29,8.48,70.82,3.3,591.8,84804.35,normal
1.12,68.24,1045.32,11.1,130.93,0.53,1346.76,61861.65,normal
-8.74,72.79,968.3,4.43,61.9,3.65,1344.45,29123.91,normal
22.6,96.82,987.11,10.12,22.25,0.08,997.8,95678.19,normal
-6.9,92.34,955.11,7.75,243.67,1.76,1643.29,87420.87,normal
20.65,48.01,960.59,2.14,88.25,3.09,1639.36,91200.72,normal
30.47,79.65,1015.45,8.74,61.34,0.58,1388.6,14848.65,normal
-2.94,85.46,1037.4,4.33,60.73,0.22,1929.09,2231.4,normal
-1.38,89.68,1019.97,14.03,58.9,3.0,624.8,21842.15,normal
30.14,81.24,1004.03,0.82,66.78,2.98,429.83,55107.32,normal
24.98,23.12,1016.05,10.14,0.98,0.53,613.78,63013.79,normal
2.66,44.69,1025.44,4.35,7.88,1.0,428.5,42396.25,normal
9.32,84.12,1044.87,8.43,291.06,1.24,1766.67,2292.31,normal
6.27,62.47,1002.01,13.04,37.73,3.85,1954.1,90767.09,normal
19.09,95.2,998.83,9.8,71.7,4.73,497.34,30774.91,normal
15.83,52.74,1015.25,9.46,134.71,0.65,1507.01,15812.7,normal
13.98,51.9,1013.71,6.49,95.68,4.72,1161.56,12254.98,normal
30.45,78.0,1007.22,10.57,217.06,1.83,1170.99,90320.93,normal
28.94,84.41,993.24,16.95,42.04,0.23,1101.56,88646.01,normal
24.91,69.16,1035.53,14.58,237.77,0.43,605.15,76882.09,normal
21.15,36.62,1009.75,7.43,212.98,0.35,392.96,60468.59,normal
22.62,19.66,1003.15,15.6,49.29,3.37,1864.99,11863.98,normal
21.75,44.43,1034.82,0.35,98.66,1.0,503.5,80287.22,normal
-4.59,93.67,969.52,0.69,10.19,4.08,1364.07,68993.94,normal
3.22,95.12,1002.99,18.97,77.89,1.57,1880.89,17151.29,normal
-7.44,86.58,1000.06,15.59,100.82,0.79,1949.74,16062.03,normal
21.73,70.39,1036.05,14.32,53.54,2.44,302.75,57463.7,normal
35.7,30.31,996.52,2.78,241.36,0.83,1511.71,81521.83,normal
-3.47,60.5,984.58,11.19,146.59,0.27,1490.74,321.14,normal
30.82,79.65,1031.73,16.81,274.6,0.84,698.88,13730.06,normal
-1.53,36.7,1030.8,2.84,92.69,4.35,405.5,91723.8,normal
7.59,65.4,976.45,5.29,145.91,1.86,1162.35,55075.47,normal
0.19,80.27,1048.58,7.56,296.13,1.12,1767.22,93461.5,normal
-1.61,76.19,1024.35,16.36,70.23,0.87,1245.94,44517.84,normal
17.9,40.3,971.47,7.67,95.96,0.97,1970.3,75339.22,normal
-4.46,39.55,953.07,6.06,64.04,4.23,1867.96,58346.46,normal
32.07,75.1,1023.74,14.4,99.12,2.31,1582.35,53503.81,normal
-3.82,75.97,1001.98,18.76,65.29,1.0,1181.79,45674.12,normal
-9.12,36.89,1011.55,5.15,264.45,1.6,854.54,54123.93,normal
-8.59,25.23,1039.76,23.6,235.67,1.7,1582.8,86702.79,normal
17.97,46.6,1027.51,7.77,277.36,0.94,1634.09,98299.54,normal
29.49,31.99,958.06,4.15,135.34,1.56,795.25,32675.07,normal
-3.49,93.26,993.29,10.77,84.02,4.11,1085.08,90579.75,normal
-7.17,70.1,1019.99,18.45,174.29,1.47,1870.34,54236.03,normal
-0.77,15.24,1007.4,17.22,148.45,1.04,788.5,69202.98,normal
27.3,73.77,1001.08,2.94,291.89,0.75,1437.18,28343.32,normal
31.01,88.5,1046.81,3.66,230.44,1.58,1486.97,28474.39,normal
-7.4,22.78,1022.49,19.63,71.23,1.74,1698.78,91925.13,normal
-2.74,65.97,1008.09,12.79,69.66,3.71,1331.27,119.7,normal
37.23,65.94,1033.61,11.06,285.34,1.57,1722.38,61635.83,normal
15.13,34.15,977.85,7.32,88.81,4.69,611.18,99691.19,normal
33.82,80.63,986.29,7.27,86.31,2.99,1893.14,15296.17,normal
4.75,40.09,998.55,13.75,96.85,1.95,547.62,70502.15,normal
34.91,15.65,1044.52,16.81,60.43,4.31,1304.01,68793.63,normal
32.36,10.52,1048.99,3.8,47.53,3.81,902.73,97611.26,normal
-1.23,14.65,957.73,6.37,56.6,1.19,890.24,9031.75,normal
15.24,55.25,1009.51,17.1,44.43,1.63,326.42,73745.33,normal
7.06,89.1,1011.31,9.06,74.57,2.51,669.13,1115.67,normal
33.47,57.56,1039.71,10.98,221.69,0.05,575.04,39007.56,normal
9.96,96.03,955.27,5.28,122.55,0.15,1308.14,58160.35,normal
30.45,76.22,1012.05,3.85,229.74,0.49,481.34,52505.57,normal
32.3,10.33,1030.31,7.72,81.66,3.17,535.09,10368.46,normal
10.57,96.88,1022.85,23.5,278.51,0.72,980.97,5440.36,normal
6.6,98.95,995.0,13.18,70.3,4.78,993.71,6768.55,normal
7.79,42.85,988.33,1.68,62.63,2.0,1538.57,12905.26,normal
-0.79,99.32,984.58,9.99,110.69,0.52,1974.29,79237.93,normal
2.2,13.67,1024.22,8.06,202.1,0.92,1609.6,65987.5,normal
31.63,36.38,988.62,11.93,49.83,2.13,1167.43,95025.74,normal
36.62,36.67,1019.19,21.82,1.71,1.33,546.75,83931.5,normal
3.51,16.68,992.71,5.25,250.6,1.28,1843.19,30144.23,normal
20.11,72.35,953.63,3.68,88.98,1.02,1047.19,12346.93,normal
19.31,30.19,1015.17,14.89,53.73,1.7,1944.81,83875.26,normal
17.97,48.82,990.37,0.78,60.72,0.03,1255.93,78309.71,normal
26.42,24.06,1041.63,21.05,145.27,1.27,1860.29,92152.99,normal
27.91,18.68,1021.54,1.45,16.25,1.31,1917.52,1369.36,normal
16.66,79.8,1042.94,2.14,76.5,2.47,1303.74,94634.15,normal
13.16,33.65,1021.07,16.94,82.72,1.51,1015.77,23223.89,normal
3.34,43.21,1049.39,15.65,20.91,4.65,1531.78,24700.32,normal
29.82,74.96,988.81,1.55,90.91,3.75,1223.79,5275.93,normal
19.59,14.51,1037.41,24.53,23.82,2.62,1684.14,92666.97,normal
24.23,25.35,959.86,3.41,182.36,1.46,306.75,92823.54,normal
0.42,49.25,1010.57,16.27,205.18,0.12,1937.57,98678.91,normal
-0.62,48.41,1047.43,11.2,20.09,1.8,622.81,62684.04,normal
18.81,34.49,984.35,11.68,134.63,1.91,333.73,41429.19,normal
13.01,18.71,1005.88,14.21,58.41,4.19,442.88,89580.34,normal
-1.19,17.29,1024.68,9.54,104.98,1.85,1520.42,4467.7,normal
-6.3,17.95,955.58,2.0,1.04,3.59,668.04,14759.05,normal
35.71,94.91,975.91,4.51,4.67,3.84,1766.13,59652.57,normal
-2.98,77.52,1028.27,16.06,229.03,0.59,640.04,22857.11,normal
14.54,19.42,1005.49,17.27,116.13,1.59,1942.52,7244.18,normal
-1.78,54.64,1011.07,10.55,287.63,1.11,393.77,4148.9,normal
-8.93,23.94,1032.76,20.23,24.2,4.37,1496.48,61470.05,normal
11.46,29.17,979.43,5.42,49.22,1.03,784.3,89176.26,normal
7.3,42.29,1008.37,19.97,177.0,1.53,1708.83,66863.73,normal
12.3,21.11,1042.3,21.28,202.32,1.86,692.34,17873.78,normal
4.71,94.18,1026.45,12.4,134.4,0.66,1757.84,61632.24,normal
21.3,96.5,971.12,7.69,135.06,1.57,1730.01,63046.03,normal
25.56,70.82,997.48,6.59,21.3,3.5,463.85,56661.65,normal
29.1,12.0,1039.64,22.7,297.72,0.73,694.31,99293.99,normal
7.37,40.41,1035.6,9.81,268.89,1.19,1038.89,1560.38,normal
6.19,32.98,1016.98,1.62,13.6,3.3,725.79,65160.33,normal
12.83,37.0,968.88,7.76,56.24,1.09,724.54,20717.02,normal
20.26,92.86,953.72,0.28,44.75,1.54,1039.88,43730.06,normal
-1.3,43.27,1007.42,9.32,70.06,2.37,877.71,31236.85,normal
-2.98,60.01,991.5,12.25,14.93,4.25,1011.61,78695.46,normal
37.17,46.98,1038.53,14.66,21.36,2.73,1805.45,28742.29,normal
6.33,20.48,985.09,8.03,182.83,0.1,1242.66,34463.36,normal
23.96,55.24,990.54,16.6,276.48,0.66,832.85,49579.82,normal
15.4,35.48,995.6,16.48,13.08,3.27,355.59,45544.63,normal
-3.33,22.55,986.77,4.49,3.87,1.13,899.48,33073.92,normal
12.18,26.84,966.32,7.45,85.18,3.31,708.31,76937.04,normal
6.91,67.42,1004.2,24.76,108.23,1.47,362.4,70153.26,normal
2.8,83.99,1007.14,18.03,17.36,1.37,1484.22,32378.69,normal
25.99,27.09,1003.04,5.23,52.99,4.37,1105.93,73675.47,normal
11.99,61.23,1016.61,17.5,235.77,1.08,704.12,77445.65,normal
2.12,22.71,1037.71,4.01,41.72,0.71,1200.35,21734.94,normal
-5.71,88.67,986.39,16.65,33.04,0.26,613.94,9443.09,normal
19.8,94.08,956.72,5.8,277.56,0.46,1681.39,9695.39,normal
23.56,14.41,1020.93,16.26,148.48,0.23,1613.15,74367.5,normal
20.75,56.41,1040.75,5.58,47.34,2.75,1783.89,69605.04,normal
9.77,67.95,1039.55,16.78,101.8,0.57,633.06,65213.94,normal
8.67,81.87,1025.32,13.46,147.34,0.63,1726.76,55653.16,normal
9.16,32.43,980.65,4.8,291.65,0.03,1887.76,60587.21,normal
4.31,26.88,1010.11,17.35,0.44,1.92,1264.32,6375.49,normal
-1.09,69.26,1043.44,4.3,49.01,2.61,1634.47,27525.34,normal
14.56,85.55,995.75,3.02,250.46,0.22,936.53,22776.11,normal
27.39,75.3,1012.03,17.71,227.8,1.7,393.65,22047.23,normal
2.71,84.3,1019.71,17.16,2.77,3.87,1299.13,93883.3,normal
4.51,68.31,1007.37,22.29,221.84,1.74,817.03,32095.98,normal
10.02,62.26,956.54,8.14,231.38,1.53,518.32,72197.9,normal
24.76,82.77,1034.91,24.9,4.19,3.32,785.77,44531.84,normal
3.79,87.51,990.35,7.59,118.35,1.05,994.72,91143.7,normal
7.87,41.0,956.0,1.66,109.67,1.88,621.57,53424.75,normal
35.5,86.57,1006.43,21.36,238.55,1.39,477.64,25909.51,normal
10.07,25.09,1048.1,9.44,182.43,1.6,1610.78,29679.13,normal
17.76,49.14,950.88,8.23,25.68,2.01,934.55,63758.59,normal
14.71,42.5,983.82,3.78,167.1,1.87,1368.27,17364.64,normal
-6.35,97.36,969.05,0.63,206.77,0.16,1193.07,30656.37,normal
27.81,61.08,1013.43,20.04,231.14,0.83,1760.77,15336.39,normal
33.09,62.75,996.81,5.87,264.12,0.41,1049.56,67468.05,normal
3.88,72.72,962.19,2.38,98.44,0.92,675.11,87947.12,normal
1.77,68.78,990.14,16.41,18.73,1.13,704.02,35423.49,normal
17.98,63.8,987.57,16.66,121.26,0.34,998.2,57391.05,normal
-5.68,64.36,1011.42,20.02,55.54,2.94,561.93,59792.16,normal
30.59,58.41,1049.26,15.56,52.18,1.06,462.2,98376.67,normal
15.39,89.75,1037.34,4.9,70.46,2.17,1548.13,58732.01,normal
36.08,96.69,996.85,13.39,89.89,4.32,580.87,43185.89,normal
9.44,88.62,1008.55,14.18,60.99,3.28,867.8,95275.49,normal
14.79,64.75,1028.53,5.35,52.27,4.98,458.27,57906.53,normal
27.32,23.22,1029.02,2.81,61.53,3.12,655.24,95188.01,normal
36.81,68.66,973.28,6.91,107.99,1.26,442.58,58397.01,normal
9.28,23.34,993.17,2.88,298.15,0.83,1272.12,89139.51,normal
15.6,89.08,991.37,10.29,267.08,0.67,867.14,45144.43,normal
23.15,35.8,1025.54,13.17,60.98,2.23,346.8,86238.77,normal
36.61,30.68,1041.23,23.11,199.65,0.24,1006.81,49060.87,normal
-9.86,52.31,998.33,12.51,174.59,0.22,937.17,37759.87,normal
26.77,84.87,1018.24,15.07,40.96,3.61,1171.78,54207.6,normal
20.63,33.91,978.74,0.86,8.48,1.53,874.28,75174.62,normal
26.73,55.87,1018.04,12.68,271.06,0.62,1104.55,60651.5,normal
